politician,polltype,subgroup,start_date,end_date,pollster_rating_name,sample_size,raw_sample_size,population,weight,approve,disapprove,approve_adjusted,disapprove_adjusted,tracking,url,poll_id,question_id,created_at,timestamp,pollster_rating_id,subpopulation
Joe Biden,potus-approve,All polls,2024-02-22,2024-02-26,Data for Progress,1232,1232,lv,0.9311257025190668,39,59,36.83623074775796,57.31651231523622,NA,https://www.dataforprogress.org/blog/2024/2/27/voters-support-the-us-calling-for-permanent-ceasefire-in-gaza-and-conditioning-military-aid-to-israel,86213,193678,2024-02-27,2024-03-05T14:51:09Z,522,NA
Joe Biden,potus-approve,All polls,2024-02-20,2024-02-26,Rasmussen Reports,1500,1500,lv,0.7264966110222968,40,58,38.47948848651595,55.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,86201,193637,2024-02-27,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-02-23,2024-02-25,Ipsos,1020,1020,a,0.8472333581278302,36.69,57.73,36.09352368378699,57.88680410564387,NA,https://www.ipsos.com/en-us/february-2024-reutersipsos-core-political,86218,193740,2024-02-28,2024-03-05T14:51:09Z,154,NA
Joe Biden,potus-approve,All polls,2024-02-23,2024-02-25,Leger,1005,1005,a,0.3546144912380765,31,54,30.233969807214166,53.22214429823985,NA,https://leger360.com/north-american-tracker/federal-politics-and-the-economy/,86217,193696,2024-02-28,2024-03-05T14:51:09Z,572,NA
Joe Biden,potus-approve,All polls,2024-02-20,2024-02-23,Harris Insights & Analytics,3010,3010,rv,0.8402830080762912,41,54,38.3678712314845,54.08590347382953,NA,https://x.com/Harris_X_/status/1761133150254637098?s=20,86176,193517,2024-02-23,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-02-19,2024-02-22,McLaughlin & Associates,2000,2000,rv,1.186363997910571,41,59,39.055735501882886,56.91429104888147,NA,https://americasnewmajorityproject.com/spending-cuts-could-unlock-broad-support-for-ukraine-israel-security-bill/,86224,193764,2024-02-28,2024-03-05T14:51:09Z,203,NA
Joe Biden,potus-approve,All polls,2024-02-21,2024-02-22,Harris Insights & Analytics,2022,2022,rv,0.8434872821890309,45,54,42.3678712314845,54.08590347382953,NA,https://harvardharrispoll.com/wp-content/uploads/2024/02/HHP_Feb2024_KeyResults.pdf,86190,193580,2024-02-26,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-02-17,2024-02-22,The Bullfinch Group,1200,1200,a,0.9189536012895384,42,54,39.69774312218809,55.64403101708394,NA,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q1-nationwide-survey-2,86180,193550,2024-02-24,2024-03-05T14:51:09Z,692,NA
Joe Biden,potus-approve,All polls,2024-02-01,2024-02-20,Gallup,1016,1016,a,0.8455704843793233,38,59,37.804308754528826,57.34485274009402,NA,https://news.gallup.com/poll/610988/biden-job-approval-edges-down.aspx,86173,193502,2024-02-23,2024-03-05T14:51:09Z,112,NA
Joe Biden,potus-approve,All polls,2024-02-17,2024-02-20,American Research Group,1100,1100,a,0.8798310886449139,43,51,41.97970411313195,51.68256701662923,NA,https://americanresearchgroup.com/economy/,86146,193089,2024-02-21,2024-03-05T14:51:09Z,9,NA
Joe Biden,potus-approve,All polls,2024-02-18,2024-02-20,YouGov,1562,1562,a,0.6053169685532404,42,53,41.73489782111722,53.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_J89zQ0v.pdf,86145,193087,2024-02-21,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-02-15,2024-02-19,Quinnipiac University,1583,1583,a,1.055463984406198,38,58,41.5326283674331,56.98624842661479,NA,https://poll.qu.edu/poll-release?releaseid=3890,86147,193150,2024-02-21,2024-03-05T14:51:09Z,267,NA
Joe Biden,potus-approve,All polls,2024-02-13,2024-02-19,Rasmussen Reports,1500,1500,lv,0.7264966110222968,43,55,41.47948848651595,52.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,86071,192860,2024-02-20,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-02-12,2024-02-16,Harris Insights & Analytics,3024,3024,rv,1.4050170517157001,39,56,36.3678712314845,56.08590347382953,NA,https://twitter.com/Harris_X_/status/1760052845871587466,86127,193046,2024-02-20,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-02-05,2024-02-15,Marquette University Law School,787,787,rv,0.7442011335884554,38,62,35.475503938187295,58.393538268454634,NA,https://law.marquette.edu/poll/2024/02/21/detailed-results-of-the-marquette-law-school-supreme-court-poll-february-5-15-2024-2/,86148,193421,2024-02-22,2024-03-05T14:51:09Z,195,NA
Joe Biden,potus-approve,All polls,2024-02-12,2024-02-14,RMG Research,2000,2000,rv,0.6849475735505487,41,58,40.0006805882531,57.236432940424066,NA,https://twitter.com/RMG_Research/status/1759670781078868079?s=20,86072,192861,2024-02-20,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-02-12,2024-02-14,Echelon Insights,1015,1015,lv,0.8451542547285166,40,57,37.4451827892836,56.13645943898985,NA,https://echeloninsights.com/in-the-news/feb2024-verified-voter-omnibus/,86059,192738,2024-02-16,2024-03-05T14:51:09Z,407,NA
Joe Biden,potus-approve,All polls,2024-02-13,2024-02-14,Emerson College,1225,1225,rv,0.9284766908852593,42.1,47.3,41.210836089367184,50.65669920716361,NA,https://emersoncollegepolling.com/february-2024-national-poll-biden-performs-strongest-against-trump-among-prominent-democrats/,85969,192493,2024-02-16,2024-03-05T14:51:09Z,88,NA
Joe Biden,potus-approve,All polls,2024-02-13,2024-02-14,YouGov,1738,1738,a,0.6385092889908569,42,58,41.73489782111722,58.7798200019007,NA,https://www.cbsnews.com/news/cbs-news-poll-economic-outlook-continues-to-improve/,85967,192480,2024-02-15,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-02-11,2024-02-13,YouGov,1671,1671,a,0.7667895545527125,42,55,41.73489782111722,55.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_CLPOIop.pdf,85938,192059,2024-02-14,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-02-08,2024-02-12,Monmouth University Polling Institute,902,902,a,0.7967209364186417,38,58,38.97040796916544,57.84415621589472,NA,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_022024/,86070,192847,2024-02-20,2024-03-05T14:51:09Z,215,NA
Joe Biden,potus-approve,All polls,2024-02-06,2024-02-12,Rasmussen Reports,1500,1500,lv,0.7264966110222968,42,57,40.47948848651595,54.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85931,192035,2024-02-13,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-02-10,2024-02-10,Redfield & Wilton Strategies,1500,1500,rv,1.027421360325823,38,50,39.57194418125929,57.14972883329628,NA,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-10-february-2024/,85966,192474,2024-02-15,2024-03-05T14:51:09Z,562,NA
Joe Biden,potus-approve,All polls,2024-02-10,2024-02-10,Patriot Polling,1018,1018,rv,0.42681014939977946,33.6,63,34.744548551551105,59.37820743365186,NA,https://patriotpolling.com/our-polls/f/president-biden-approval-rating-hits-record-low,85933,192041,2024-02-13,2024-03-05T14:51:09Z,732,NA
Joe Biden,potus-approve,All polls,2024-02-05,2024-02-08,RMG Research,1000,1000,rv,0.5931819989552856,38,60,37.0006805882531,59.236432940424066,NA,https://twitter.com/ScottWRasmussen/status/1756754306370339089?s=20,85919,192014,2024-02-11,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-02-02,2024-02-07,AtlasIntel,1637,1637,rv,1.0733152518426925,43.5,54,42.433890175525185,54.4652859252295,NA,https://atlasintel.org/poll/usa-national-2024-02-09,85918,192000,2024-02-11,2024-03-05T14:51:09Z,546,NA
Joe Biden,potus-approve,All polls,2024-02-04,2024-02-06,YouGov,1591,1591,a,0.5309033253626405,42,55,41.73489782111722,55.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_PJ4ynwY.pdf,85859,191795,2024-02-07,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-02-02,2024-02-05,Global Strategy Group/North Star Opinion Research,1006,1006,rv,0.8413989222573272,38,59,36.71099164844719,57.367901447037696,NA,https://www.ft.com/content/e4f30845-24f7-4780-bee4-ae0013b49b4d,85917,191999,2024-02-11,2024-03-05T14:51:09Z,822,NA
Joe Biden,potus-approve,All polls,2024-01-30,2024-02-05,Morning Consult,7033,45000,a,1.4050170517157001,37,55,35.80631949336148,56.343856685714,TRUE,https://pro.morningconsult.com/trackers/global-leader-approval,85860,191797,2024-02-07,2024-03-05T14:51:09Z,218,NA
Joe Biden,potus-approve,All polls,2024-01-30,2024-02-05,Rasmussen Reports,1500,1500,lv,0.7264966110222968,43,56,41.47948848651595,53.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85847,191760,2024-02-06,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-01-30,2024-02-04,Morning Consult,2001,2001,rv,1.1866605518454392,42,57,39.80631949336148,57.71954053667116,NA,https://spn.org/articles/polling-spotlight-rebuilding-trust-in-government/,86178,193530,2024-02-23,2024-03-05T14:51:09Z,218,NA
Joe Biden,potus-approve,All polls,2024-02-02,2024-02-03,Florida Atlantic University Political Communication and Public Opinion Research Lab/Mainstreet Research,1180,1180,rv,0.9112634777975185,37.9,56.7,37.32815229495468,56.140326743875995,NA,https://www.faupolling.com/feb2024poll/,85911,191974,2024-02-09,2024-03-05T14:51:09Z,770,NA
Joe Biden,potus-approve,All polls,2024-01-31,2024-02-02,TIPP Insights,1402,1402,a,0.9932920690372926,36,54,36.15881994458367,58.891344086304095,NA,https://tippinsights.com/bidens-lackluster-report-card-an-albatross-for-reelection/,85841,191721,2024-02-05,2024-03-05T14:51:09Z,144,NA
Joe Biden,potus-approve,All polls,2024-01-29,2024-02-01,Marist College,1582,1582,a,1.0551305571401282,40,54,39.730959205031674,55.23891663818412,NA,https://maristpoll.marist.edu/polls/the-road-to-the-general-election/,85861,191798,2024-02-07,2024-03-05T14:51:09Z,183,NA
Joe Biden,potus-approve,All polls,2024-01-31,2024-02-01,RMG Research,1000,1000,rv,0.5931819989552856,40,58,39.0006805882531,57.236432940424066,NA,https://twitter.com/ScottWRasmussen/status/1754582996366025179?s=20,85845,191746,2024-02-05,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-31,McLaughlin & Associates,1000,1000,lv,0.8388860278781478,42,55,39.30499942339482,53.251606676995145,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2024/02/National-January-Presentation-RELEASE-2-1-24.pdf,85835,191687,2024-02-03,2024-03-05T14:51:09Z,203,NA
Joe Biden,potus-approve,All polls,2024-01-01,2024-01-31,ActiVote,518,518,rv,0.6037648712076858,35.3,56.9,36.158846591580314,56.549271857756885,NA,https://www.activote.net/activote_polling/,85832,191642,2024-02-02,2024-03-05T14:51:09Z,721,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-30,YouGov,1064,1064,a,0.4341613607592281,39,57,38.73489782111722,57.7798200019007,NA,https://polsci.umass.edu/state-nation-toplines-crosstabs-feb-6-2024,85842,191761,2024-02-06,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-26,2024-01-30,Hart Research Associates/Public Opinion Strategies,1000,1000,rv,0.8388860278781478,37,60,36.392350609500404,58.826861220265165,NA,https://www.nbcnews.com/politics/2024-election/poll-biden-trump-economy-presidential-race-rcna136834,85839,191709,2024-02-04,2024-03-05T14:51:09Z,221,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-30,SSRS,1212,1212,a,0.9235369394540979,38,62,36.60279091531437,58.83567172358957,NA,https://www.cnn.com/2024/02/01/politics/cnn-poll-trump-biden-election-2024/index.html,85826,191643,2024-02-02,2024-03-05T14:51:09Z,297,NA
Joe Biden,potus-approve,All polls,2024-01-27,2024-01-30,Civiqs,1217,1217,rv,0.7007438442287344,35,56,37.1270940124472,54.343596110992074,NA,https://civiqs.com/reports/2024/1/31/report-voters-divided-on-trump-vs-biden-in-2024-presidential-election,85781,191503,2024-01-31,2024-03-05T14:51:09Z,471,NA
Joe Biden,potus-approve,All polls,2024-01-28,2024-01-30,YouGov,1686,1686,a,0.5465238774881737,41,54,40.73489782111722,54.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_f35zM8U.pdf,85772,191344,2024-01-31,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-29,AP-NORC,1152,1152,a,0.9003869681809546,38,61,35.946238788005175,59.031305604976346,NA,https://apnorc.org/projects/despite-improved-views-of-the-economy-bidens-ratings-are-unchanged/,85799,191569,2024-02-01,2024-03-05T14:51:09Z,397,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-29,Quinnipiac University,1852,1852,a,1.1416249515092578,39,55,42.5326283674331,53.98624842661479,NA,https://poll.qu.edu/poll-release?releaseid=3889,85779,191484,2024-01-31,2024-03-05T14:51:09Z,267,NA
Joe Biden,potus-approve,All polls,2024-01-25,2024-01-29,YouGov,1594,1594,a,0.6114859632687322,40,56,39.73489782111722,56.7798200019007,NA,https://news.yahoo.com/yahoo-newsyougov-poll-trump-and-biden-both-get-big-boost-after-winning-first-round-of-primaries-205413210.html,85761,191289,2024-01-31,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-23,2024-01-29,Rasmussen Reports,1500,1500,lv,0.7264966110222968,46,53,44.47948848651595,50.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85750,191258,2024-01-30,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-01-26,2024-01-29,Emerson College,1260,1260,rv,0.9416472308615167,42.2,46.3,41.310836089367186,49.65669920716361,NA,https://emersoncollegepolling.com/january-2024-national-poll-trump-and-biden-remain-neck-and-neck-in-likely-rematch/,85742,191220,2024-01-30,2024-03-05T14:51:09Z,88,NA
Joe Biden,potus-approve,All polls,2024-01-17,2024-01-28,Lord Ashcroft Polls,7033,10192,a,1.4050170517157001,38,58,37.673067479382446,57.00662671987167,NA,https://lordashcroftpolls.com/2024/02/voters-doubt-biden-can-do-the-job-now-let-alone-in-four-years-time/,86061,192764,2024-02-18,2024-03-05T14:51:09Z,560,NA
Joe Biden,potus-approve,All polls,2024-01-26,2024-01-28,Big Village,1017,1017,a,0.84598650924305685,40.8,51.9,41.553116163717355,53.385171337344744,NA,https://s3.amazonaws.com/cdn.big-village.com/big-village%2F2024%2F02%2FBig-Village-Political-Poll-01.28.24.pdf,85846,191748,2024-02-05,2024-03-05T14:51:09Z,37,NA
Joe Biden,potus-approve,All polls,2024-01-26,2024-01-28,Ipsos,1019,1019,a,0.8468179458164493,38.18,56.96,37.58352368378699,57.11680410564387,NA,https://www.reuters.com/world/us/bidens-job-approval-drops-38-border-worries-rise-reutersipsos-2024-01-31/,85821,191624,2024-02-01,2024-03-05T14:51:09Z,154,NA
Joe Biden,potus-approve,All polls,2024-01-26,2024-01-28,Leger,1004,1004,a,0.840562125509027,35,53,34.233969807214166,52.22214429823985,NA,https://leger360.com/north-american-tracker/economic-recession-and-personal-finances/,85762,191291,2024-01-31,2024-03-05T14:51:09Z,572,NA
Joe Biden,potus-approve,All polls,2024-01-24,2024-01-25,RMG Research,1000,1000,rv,0.5931819989552856,41,58,40.0006805882531,57.236432940424066,NA,https://twitter.com/RMG_Research/status/1750963516394045521?s=20,85709,191141,2024-01-26,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-01-19,2024-01-23,Clarity Campaign Labs,1092,1092,lv,0.87662586455336855,39,54,39.21670816644694,54.69790759523622,NA,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/65bbc99ed92dcc3f3d6c412d/1706805664506/Clarity+Omnibus+Overview+-+January+2024.pdf,85818,191613,2024-02-01,2024-03-05T14:51:09Z,52,NA
Joe Biden,potus-approve,All polls,2024-01-21,2024-01-23,YouGov,1664,1664,a,0.7651817867565557,40,56,39.73489782111722,56.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_kPUXgWx.pdf,85699,191074,2024-01-24,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-02,2024-01-22,Gallup,1011,1011,a,0.8434872821890308,41,54,40.804308754528826,52.34485274009402,NA,https://news.gallup.com/poll/609188/biden-third-year-job-approval-average-second-worst.aspx,85704,191116,2024-01-25,2024-03-05T14:51:09Z,112,NA
Joe Biden,potus-approve,All polls,2024-01-16,2024-01-22,Rasmussen Reports,1500,1500,lv,0.7264966110222968,44,55,42.47948848651595,52.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85696,191067,2024-01-23,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-01-19,2024-01-22,The Bullfinch Group,1002,1002,rv,0.8397244948819315,41,55,37.69774312218809,56.0197148680411,NA,https://independentcenter.org/wp-content/uploads/2024/01/Independent-Center-2024-Nationwide-January-Survey-of-Adults-Toplines_PR.pdf,85689,191008,2024-01-23,2024-03-05T14:51:09Z,692,NA
Joe Biden,potus-approve,All polls,2024-01-16,2024-01-21,Pew Research Center,5140,5140,a,0.805432177947326,33,65,34.142454421859014,60.922141811818975,NA,https://www.pewresearch.org/politics/2024/01/25/americans-more-upbeat-on-the-economy-bidens-job-rating-remains-very-low/,85705,191117,2024-01-25,2024-03-05T14:51:09Z,253,NA
Joe Biden,potus-approve,All polls,2024-01-17,2024-01-21,Harris Insights & Analytics,3034,3034,rv,0.8436263223749564,38,57,35.3678712314845,57.08590347382953,NA,https://themessenger.com/politics/messenger-poll-trump-leads-biden-by-seven-points-exclusive,85700,191076,2024-01-24,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-01-17,2024-01-20,American Research Group,1100,1100,a,0.8798310886449139,40,54,38.97970411313195,54.68256701662923,NA,https://americanresearchgroup.com/economy/,85673,190614,2024-01-22,2024-03-05T14:51:09Z,9,NA
Joe Biden,potus-approve,All polls,2024-01-17,2024-01-18,RMG Research,1000,1000,rv,0.4843310740148645,37,60,36.0006805882531,59.236432940424066,NA,https://twitter.com/ScottWRasmussen/status/1749568678591438862,85691,191011,2024-01-23,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-01-16,2024-01-18,NewsNation,1000,1000,rv,0.8388860278781478,42.69,57.31,39.071440507207,55.93437325581911,NA,https://www.newsnationnow.com/polls/2024-election-poll-ddhq/,85690,191010,2024-01-23,2024-03-05T14:51:09Z,696,NA
Joe Biden,potus-approve,All polls,2024-01-16,2024-01-18,Echelon Insights,1029,1029,lv,0.8509629433967631,39,58,36.4451827892836,57.13645943898985,NA,https://echeloninsights.com/in-the-news/jan2024-verified-voter-omnibus/,85676,191009,2024-01-23,2024-03-05T14:51:09Z,407,NA
Joe Biden,potus-approve,All polls,2024-01-17,2024-01-18,Harris Insights & Analytics,2346,2346,rv,0.9085565571791577,42,57,39.3678712314845,57.08590347382953,NA,https://harvardharrispoll.com/wp-content/uploads/2024/01/HHP_Jan24_KeyResults.pdf,85672,190613,2024-01-22,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-01-18,2024-01-18,Redfield & Wilton Strategies,1500,1500,rv,1.027421360325823,38,47,39.57194418125929,54.14972883329628,NA,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-19-january-2024/,85656,190551,2024-01-19,2024-03-05T14:51:09Z,562,NA
Joe Biden,potus-approve,All polls,2024-01-16,2024-01-17,Harris Insights & Analytics,1045,1045,rv,0.8575532679191361,42,53,39.3678712314845,53.08590347382953,NA,https://themessenger.com/politics/messenger-poll-trump-keeps-lead-over-biden-in-head-to-head-matchup-exclusive,85644,190473,2024-01-18,2024-03-05T14:51:09Z,133,NA
Joe Biden,potus-approve,All polls,2024-01-14,2024-01-16,YouGov,1660,1660,a,0.6240169374028329,40,54,39.73489782111722,54.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_Jt39PjS.pdf,85626,190372,2024-01-17,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-09,2024-01-15,Rasmussen Reports,1500,1500,lv,0.7264966110222968,45,54,43.47948848651595,51.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85623,190369,2024-01-16,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-01-11,2024-01-14,McLaughlin & Associates,2000,2000,rv,1.186363997910571,39.9,60.1,37.955735501882884,58.014291048881475,NA,https://americasnewmajorityproject.com/wp-content/uploads/2024/01/20240114-National-ANMP-Topline.pdf,85627,190374,2024-01-17,2024-03-05T14:51:09Z,203,NA
Joe Biden,potus-approve,All polls,2024-01-10,2024-01-11,RMG Research,1000,1000,rv,0.4843310740148645,36,61,35.0006805882531,60.236432940424066,NA,https://twitter.com/ScottWRasmussen/status/1747349624728261068,85624,190370,2024-01-16,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-01-08,2024-01-09,RMG Research,1000,1000,rv,0.5931819989552856,43,57,42.0006805882531,56.236432940424066,NA,https://twitter.com/RMG_Research/status/1745533477137596558,85593,190280,2024-01-11,2024-03-05T14:51:09Z,555,NA
Joe Biden,potus-approve,All polls,2024-01-07,2024-01-09,YouGov,1593,1593,a,0.6112941245304364,40,53,39.73489782111722,53.7798200019007,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_O5mTWEc.pdf,85578,190163,2024-01-10,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-04,2024-01-08,Global Strategy Group/GBAO (Navigator Research),1000,1000,rv,0.8388860278781478,37,59,35.59953446607375,57.52178686299856,NA,https://navigatorresearch.org/wp-content/uploads/2024/02/Navigator-Toplines-01.26.2024.pdf,85688,191762,2024-02-06,2024-03-05T14:51:09Z,413,NA
Joe Biden,potus-approve,All polls,2024-01-04,2024-01-08,Ipsos,2228,2228,a,1.2521620991667675,33,58,32.40352368378699,58.15680410564387,NA,https://abcnews.go.com/Politics/trump-tops-opponents-biden-hits-new-low-approval/story?id=106335244&mc_cid=7e90c54eaa&mc_eid=UNIQID,85599,190313,2024-01-14,2024-03-05T14:51:09Z,154,NA
Joe Biden,potus-approve,All polls,2024-01-02,2024-01-08,Rasmussen Reports,1500,1500,lv,0.7264966110222968,43,56,41.47948848651595,53.35762761660418,TRUE,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,85574,190137,2024-01-09,2024-03-05T14:51:09Z,277,NA
Joe Biden,potus-approve,All polls,2024-01-03,2024-01-05,TIPP Insights,1401,1401,a,0.9929377647388664,36,54,36.15881994458367,58.891344086304095,NA,https://tippinsights.com/bidens-report-card-a-liability-for-reelection/,85573,190133,2024-01-09,2024-03-05T14:51:09Z,144,NA
Joe Biden,potus-approve,All polls,2024-01-03,2024-01-05,YouGov,2157,2157,a,0.8711903090249897,41,59,40.73489782111722,59.7798200019007,NA,https://www.cbsnews.com/news/cbs-news-opinion-poll-fewer-americans-expecting-economic-slowdown-2024-01-07/,85541,189888,2024-01-07,2024-03-05T14:51:09Z,391,NA
Joe Biden,potus-approve,All polls,2024-01-02,2024-01-04,Noble Predictive Insights,2573,2573,rv,1.3456213035137679,37,60,36.28002081490833,58.995061499714595,NA,https://www.thecentersquare.com/national/article_42b578d4-b001-11ee-8b12-c72a1fdf93ba.html,85587,190267,2024-01-11,2024-03-05T14:51:09Z,235,NA
Joe Biden,potus-approve,All polls,2024-01-03,2024-01-04,RMG Research,1000,1000,rv,0.8388860278781478,41,58,40.0006805882531,57.236432940424066,NA,https://twitter.com/RMG_Research/status/1744452131048902938,85558,189990,2024-01-08,2024-03-05T14:51:09Z,555,NA
